group,UMAP1,UMAP2,Tissue,CellType,NodeCount,MajorCT,DetailedCT,MajorOG
SPL_Tfh,SPL_Tfh,0.142254544576691,3.54891931291733,SPL,T)Tfh,2912,T),Tfh,others)
SPL_Tgd_CRTAM.,SPL_Tgd_CRTAM.,2.66122193046834,2.07157968666041,SPL,T)Tgd_CRTAM+,2513,T),Tgd_CRTAM+,others)
SPL_Tmemory_CD4,SPL_Tmemory_CD4,-0.437582946231872,2.0448515689307,SPL,T)Tmemory_CD4,2310,T),Tmemory_CD4,others)
SPL_Tmemory_CD8,SPL_Tmemory_CD8,1.50233341298914,2.62716286187179,SPL,T)Tmemory_CD8,3446,T),Tmemory_CD8,others)
SPL_Tnaive_CD4,SPL_Tnaive_CD4,-2.16618802689007,1.79611845671231,SPL,T)Tnaive_CD4,2434,T),Tnaive_CD4,others)
SPL_Tnaive_cm_CD4,SPL_Tnaive_cm_CD4,-0.686828664302135,2.57347150383844,SPL,T)Tnaive_cm_CD4,2800,T),Tnaive_cm_CD4,others)
SPL_Treg,SPL_Treg,0.0268953462818382,2.70241285044704,SPL,T)Treg,2472,T),Treg,others)
THY_MemoryBcell,THY_MemoryBcell,-3.6163318264629,-0.247339284081082,THY,B)MemoryBcell,3767,B),MemoryBcell,others)
THY_PlasmaCell,THY_PlasmaCell,-2.00304666646334,-0.676454267980205,THY,B)PlasmaCell,5372,B),PlasmaCell,others)
THY_T_CD4,THY_T_CD4,-2.74363281158573,1.71674285566519,THY,T)T_CD4,4408,T),T_CD4,others)
THY_Thymocyte_DN3,THY_Thymocyte_DN3,-2.62061523617661,1.35487704375374,THY,T)Thymocyte_DN3,3047,T),Thymocyte_DN3,others)
VAS_Macrophage,VAS_Macrophage,-1.29679362513995,-4.54920152139199,VAS,My)Macrophage,6164,My),Macrophage,others)
M1_GABAergic,M1_GABAergic,1.75149800955937,-1.32368988547662,M1,Br)GABAergic,2057,Br),GABAergic,BR)
M1_Glutamatergic,M1_Glutamatergic,1.77678189918564,-0.273545147706773,M1,Br)Glutamatergic,3285,Br),Glutamatergic,BR)
M1_Non.Neuronal,M1_Non.Neuronal,-0.275168990804982,-1.51554651140986,M1,Br)Non-neuronal,1382,Br),Non-neuronal,BR)
MTG_GABAergic,MTG_GABAergic,2.04319612507682,-2.07575830846733,MTG,Br)GABAergic,2592,Br),GABAergic,BR)
MTG_Glutamatergic,MTG_Glutamatergic,0.912883418209751,0.872231015746467,MTG,Br)Glutamatergic,3849,Br),Glutamatergic,BR)
MTG_Non.neuronal_Non.neural,MTG_Non.neuronal_Non.neural,0.0299383833929472,-2.13745280800695,MTG,Br)Non-neuronal_Non-neural,2574,Br),Non-neuronal_Non-neural,BR)
M1_L2.3_IT,M1_L2.3_IT,1.48692729692165,-0.606790932350666,M1,Br)L2-3_IT,4205,Br),L2-3_IT,BR)
M1_L5_IT,M1_L5_IT,1.63727384752539,-0.631566112581747,M1,Br)L5_IT,4492,Br),L5_IT,BR)
M1_L5.6_NP,M1_L5.6_NP,1.02099980451977,-0.878100000432142,M1,Br)L5-6_NP,2369,Br),L5-6_NP,BR)
M1_L6_CT,M1_L6_CT,1.97868619154491,-0.461060908347789,M1,Br)L6_CT,3095,Br),L6_CT,BR)
M1_L6_IT,M1_L6_IT,1.48935270340143,-0.0560129815125587,M1,Br)L6_IT,2406,Br),L6_IT,BR)
M1_L6b,M1_L6b,1.64624748205073,-0.158998347467411,M1,Br)L6b,2733,Br),L6b,BR)
M1_Lamp5,M1_Lamp5,1.70081267140029,-1.66601785563771,M1,Br)Lamp5,2355,Br),Lamp5,BR)
M1_Oligodendrocyte,M1_Oligodendrocyte,-0.16720899053774,-1.85086157106467,M1,Br)Oligodendrocyte,2063,Br),Oligodendrocyte,BR)
M1_Pvalb,M1_Pvalb,1.47266171792998,-1.12860501029506,M1,Br)Pvalb,3769,Br),Pvalb,BR)
M1_Sst,M1_Sst,1.17596640312481,-1.26785546344131,M1,Br)Sst,1984,Br),Sst,BR)
M1_Vip,M1_Vip,1.80264764693702,-1.74324537206456,M1,Br)Vip,2185,Br),Vip,BR)
MTG_Astrocyte,MTG_Astrocyte,0.256050065874585,-1.62753834391962,MTG,Br)Astrocyte,2696,Br),Astrocyte,BR)
MTG_L2.3_IT,MTG_L2.3_IT,0.733663595663414,0.986897599080712,MTG,Br)L2-3_IT,5942,Br),L2-3_IT,BR)
MTG_L4_IT,MTG_L4_IT,0.099475140815461,0.182173424209392,MTG,Br)L4_IT,3363,Br),L4_IT,BR)
MTG_L5_IT,MTG_L5_IT,0.693576615707782,0.493344344283275,MTG,Br)L5_IT,5445,Br),L5_IT,BR)
MTG_L5.6_NP,MTG_L5.6_NP,0.887642554746475,-0.147325470343963,MTG,Br)L5-6_NP,2923,Br),L5-6_NP,BR)
MTG_L6_CT,MTG_L6_CT,0.666088428693544,0.271002179887072,MTG,Br)L6_CT,2824,Br),L6_CT,BR)
MTG_L6_IT,MTG_L6_IT,1.25805829085213,0.808547068365481,MTG,Br)L6_IT,4907,Br),L6_IT,BR)
MTG_L6_IT_Car3,MTG_L6_IT_Car3,0.502377411537026,0.412351012968018,MTG,Br)L6_IT_Car3,3020,Br),L6_IT_Car3,BR)
MTG_L6b,MTG_L6b,0.866409748395835,0.592232867700435,MTG,Br)L6b,3916,Br),L6b,BR)
MTG_Lamp5,MTG_Lamp5,1.39836297029124,-1.92362725889406,MTG,Br)Lamp5,2614,Br),Lamp5,BR)
MTG_Lamp5_Lhx6,MTG_Lamp5_Lhx6,1.83358960338438,-2.07136969739793,MTG,Br)Lamp5_Lhx6,2265,Br),Lamp5_Lhx6,BR)
MTG_Microglia.PVM,MTG_Microglia.PVM,0.117760330251369,-2.33287041092034,MTG,Br)Microglia-PVM,2407,Br),Microglia-PVM,BR)
MTG_Oligodendrocyte,MTG_Oligodendrocyte,-0.210348386046008,-1.71870203322865,MTG,Br)Oligodendrocyte,2341,Br),Oligodendrocyte,BR)
MTG_OPC,MTG_OPC,0.379312513609044,-1.87702590654606,MTG,Br)OPC,2211,Br),OPC,BR)
MTG_Pvalb,MTG_Pvalb,2.0601447812775,-1.46376574617788,MTG,Br)Pvalb,3508,Br),Pvalb,BR)
MTG_Sncg,MTG_Sncg,1.50443134067068,-1.89456735307827,MTG,Br)Sncg,2123,Br),Sncg,BR)
MTG_Sst,MTG_Sst,1.17387567441274,-1.97905602687006,MTG,Br)Sst,3059,Br),Sst,BR)
MTG_Vip,MTG_Vip,2.01155841063948,-2.38506119184385,MTG,Br)Vip,3607,Br),Vip,BR)
